NODE,ISO,NodeType,PricingType,State,County,AvgPrice,MaxPrice,MinPrice,AvgCongestion,MaxCongestion,MinCongestion
AMESBS_1_N004,CAISO,NODE,Real Time,CA,Santa Clara,37.412182,22801.35216,-23.46843,-1.101638,130.44295,-245.38044
AMESBS_1_N101,CAISO,NODE,Real Time,CA,Santa Clara,37.412181,22801.35216,-23.46843,-1.101638,130.44295,-245.38044
AMESDST_1_N001,CAISO,NODE,Real Time,CA,Santa Clara,37.412347,22801.35383,-23.46911,-1.101189,130.44295,-245.38044
AMFORST_6_N001,CAISO,NODE,Real Time,CA,Amador,37.060592,21836.51865,-18.54524,-1.135703,104.730745,-241.703637
AMOCOT_LNODED1,CAISO,NODE,Real Time,UT,Salt Lake,30.645786,19795.38841,-17.558462,-3.386737,616.64794,-954.8383
AMSTGSW_6_N004,CAISO,NODE,Real Time,CA,Kings,39.036183,21491.74611,-35.671272,0.85254,1615.720542,-280.33207
AN_LNODE18A,CAISO,NODE,Real Time,AZ,Yavapai,37.110934,21447.11851,-324.663827,1.494647,983.078322,-713.013547
AN_LNODE22A,CAISO,NODE,Real Time,AZ,Yavapai,37.110934,21447.11851,-324.663827,1.494647,983.078322,-713.013547
AN_LNODE26A,CAISO,NODE,Real Time,AZ,Yavapai,36.916894,21447.11851,-324.663827,1.495638,983.078322,-713.013547
ANA_LNODEXF1,CAISO,NODE,Real Time,WA,Skagit,26.576658,20357.54333,-325.748612,-8.481749,624.252232,-956.967035
ANACOND_LNODE04,CAISO,NODE,Real Time,NV,Lyon,39.39544,20237.24346,-784.839022,5.569619,1015.853462,-843.285052
ANACOND_LNODE05,CAISO,NODE,Real Time,NV,Lyon,39.39544,20237.24346,-784.839022,5.569619,1015.853462,-843.285052
ANACOND_LNODE39,CAISO,NODE,Real Time,NV,Lyon,40.617848,21488.44822,-784.839022,6.297962,1015.853462,-843.285052
ANAHEIM_6_N001,CAISO,NODE,Real Time,,,42.482559,22528.21505,-230.01775,4.489429,350.452845,-361.293905
ANAHEIMG_7_B1,CAISO,NODE,Real Time,CA,Orange,42.481804,22528.21505,-230.01775,4.489429,350.452845,-361.293905
ANAMOLY_LNODE34,CAISO,NODE,Real Time,NV,Nye,39.850646,21488.44822,-461.479092,6.558362,1015.853462,-496.90426
ANAVERDE_6_N001,CAISO,NODE,Real Time,,,39.247384,21968.09615,-17.636727,1.444037,212.45557,-155.17527
ANDERSON_6_N001,CAISO,NODE,Real Time,CA,Shasta,34.460023,20927.23368,-22.861425,-2.080849,122.911087,-225.148592
ANDERSON_LNODEAD,CAISO,NODE,Real Time,ID,Jefferson,30.667111,20053.35443,-29.21132,-3.704759,615.592905,-954.8383
ANDREWS_LNODE-1,CAISO,NODE,Real Time,NV,Clark,41.60657,21503.52784,-323.133922,6.630077,1015.853462,-343.451197
ANDREWS_LNODE-2,CAISO,NODE,Real Time,NV,Clark,41.60657,21503.52784,-323.133922,6.630077,1015.853462,-343.451197
ANGEL_LNODED1,CAISO,NODE,Real Time,UT,Davis,30.591111,19790.97684,-17.521407,-3.414094,616.64794,-954.8383
ANGEL_LNODED2,CAISO,NODE,Real Time,UT,Davis,30.591111,19790.97684,-17.521407,-3.414094,616.64794,-954.8383
